SEXO,ALTURA,PESO
0,187.5714232,109.9516196
0,174.7060363,73.77748751
0,188.2396677,96.70038889
0,182.1966851,100.0193047
0,177.4997615,93.79536392
0,170.8226598,69.18734353
0,174.7141064,83.60358573
0,173.6052294,76.35050477
0,170.2281321,79.96792745
0,161.1794947,71.09076199
0,180.836271,84.82042071
0,181.967645,97.15507704
0,164.506476,75.96702776
0,175.978998,86.11190063
0,175.8790799,84.74280365
0,171.819874,78.26678639
0,183.9425242,89.10386651
0,162.4947873,78.58339555
0,176.8857521,84.53816253
0,172.5574523,82.92120364
0,172.5042275,79.14360413
0,176.3761773,89.87791892
0,168.0187952,67.80616637
0,191.023173,103.9826276
0,172.4487187,73.6393872
0,173.0858433,87.42908026
0,175.4876638,83.83417019
0,184.9141425,94.01281337
0,171.2499554,79.642692
0,173.980895,70.15574497
0,174.2900008,85.23038325
0,188.0458714,96.77737515
0,181.6816687,88.65101965
0,175.7176092,93.26528243
0,176.726094,92.80187522
0,178.8183594,87.68341594
0,175.4534748,89.767383
0,170.6715491,83.55044238
0,167.1505818,74.47810222
0,163.3326372,74.14000779
0,172.654814,78.24345337
0,183.3611419,88.20245677
0,165.7866776,76.64443009
0,167.8690505,73.26974209
0,171.4762166,74.84558057
0,178.0661571,85.87377416
0,173.3596646,85.02752371
0,183.3186812,95.03221063
0,175.7168384,87.27924337
0,185.0907148,96.06477128
0,164.5477608,75.2780119
0,178.2662167,91.39632641
0,173.9682836,78.82907288
0,171.0203104,82.45803604
0,170.156998,77.15350336
0,168.9088567,74.23160378
0,173.6167639,86.23191361
0,179.767126,87.32947607
0,180.8884461,90.09021096
0,177.833948,95.23931811
0,181.3640828,90.3453603
0,176.6620929,90.03614712
0,187.4990778,88.76846009
0,170.1720822,74.97422864
0,181.4029034,81.75631925
0,165.8094225,70.56837304
0,173.4164463,83.87245057
0,184.8240397,100.3082007
0,172.9724247,83.32393423
0,174.9976334,89.29605104
0,175.9953553,83.90709468
0,179.1289903,94.33310842
0,176.9458621,80.54587671
0,171.6919828,74.140001
0,184.1706258,98.28101369
0,180.9825834,93.02522446
0,182.3953347,91.32753237
0,183.5027203,100.4098954
0,168.9420743,89.29539106
0,167.7137464,76.65491365
0,171.645971,82.469415
0,173.3462842,90.29939697
0,187.5183626,108.1439708
0,177.2982595,78.65511632
0,167.5373276,73.03814393
0,180.5407046,85.72859958
0,169.1543392,94.7025882
0,175.1368991,87.92505384
0,173.340933,79.1407699
0,183.6847358,89.71299511
0,182.4111679,91.64575761
0,165.7021058,82.27816965
0,179.4269464,82.78294817
0,164.419091,80.70421065
0,170.44302,74.98844576
0,165.3984116,75.32596009
0,182.1211344,87.77007434
0,169.7555106,82.12903953
0,168.8370392,78.53351042
0,176.3052766,80.66846192
0,177.9325308,91.28124423
0,169.5287558,76.24535243
0,168.336796,70.17982945
0,173.5542579,80.90214937
0,177.992756,83.60857134
0,174.5817899,81.45671912
0,171.5923702,72.0763579
0,168.2842266,75.68342347
0,175.7227948,78.17439891
0,171.7271266,79.25644654
0,176.0035546,85.3387963
0,173.2043374,91.58543745
0,181.8819979,93.14864188
